pollster,start_date,end_date,sample_size,sample_type,rep,dem,other,election_year,state,overlapping_special_election,dem_actual,rep_actual,other_actual,rep_won
KCCI/Research 2000,2010/02/15,2010/02/17,600,LV,56,35,,2010,iowa,,33.3033171066508,64.3525499904575,2.34413290289168,1
SurveyUSA,2010/10/22,2010/10/26,561,LV,66,26,,2010,kansas,,26.3785496339944,70.094378363408,3.52707200259761,1
SurveyUSA,2010/10/10,2010/10/12,619,LV,67,27,,2010,kansas,,26.3785496339944,70.094378363408,3.52707200259761,1
SurveyUSA,2010/09/14,2010/09/16,602,LV,66,24,,2010,kansas,,26.3785496339944,70.094378363408,3.52707200259761,1
SurveyUSA,2010/08/12,2010/08/15,588,LV,69,23,,2010,kansas,,26.3785496339944,70.094378363408,3.52707200259761,1
Rasmussen Reports,2010/08/04,2010/08/04,500,LV,61,28,,2010,kansas,,26.3785496339944,70.094378363408,3.52707200259761,1
Rasmussen Reports,2010/06/30,2010/06/30,500,LV,59,23,,2010,kansas,,26.3785496339944,70.094378363408,3.52707200259761,1
Rasmussen Reports,2010/05/11,2010/05/11,500,LV,61,25,,2010,kansas,,26.3785496339944,70.094378363408,3.52707200259761,1
PPP (D),2010/10/28,2010/10/30,1021,LV,55,40,,2010,kentucky,,44.2484897824343,55.726585728444,0.02492448912171,1
Rasmussen Reports,2010/10/27,2010/10/27,750,LV,53,41,,2010,kentucky,,44.2484897824343,55.726585728444,0.02492448912171,1
CN|2/Braun Research,2010/10/25,2010/10/27,800,LV,47,39,,2010,kentucky,,44.2484897824343,55.726585728444,0.02492448912171,1
SurveyUSA,2010/10/24,2010/10/27,637,LV,52,43,,2010,kentucky,,44.2484897824343,55.726585728444,0.02492448912171,1
CNN/Time,2010/10/20,2010/10/26,785,LV,50,43,,2010,kentucky,,44.2484897824343,55.726585728444,0.02492448912171,1
PPP (D),2010/10/21,2010/10/24,900,LV,53,40,,2010,kentucky,,44.2484897824343,55.726585728444,0.02492448912171,1
FOX News/POR-Rasmussen,2010/10/23,2010/10/23,1000,LV,50,43,,2010,kentucky,,44.2484897824343,55.726585728444,0.02492448912171,1
Mason-Dixon,2010/10/18,2010/10/19,625,LV,48,43,,2010,kentucky,,44.2484897824343,55.726585728444,0.02492448912171,1
Rasmussen Reports,2010/10/18,2010/10/18,500,LV,47,42,,2010,kentucky,,44.2484897824343,55.726585728444,0.02492448912171,1
CN|2/Braun Research,2010/10/04,2010/10/06,826,LV,43,40,,2010,kentucky,,44.2484897824343,55.726585728444,0.02492448912171,1
Rasmussen Reports,2010/09/29,2010/09/29,500,LV,49,38,,2010,kentucky,,44.2484897824343,55.726585728444,0.02492448912171,1
SurveyUSA,2010/09/21,2010/09/23,611,LV,49,47,,2010,kentucky,,44.2484897824343,55.726585728444,0.02492448912171,1
Daily Kos/PPP (D),2010/09/11,2010/09/12,959,LV,49,42,,2010,kentucky,,44.2484897824343,55.726585728444,0.02492448912171,1
Rasmussen Reports,2010/09/07,2010/09/07,500,LV,54,39,,2010,kentucky,,44.2484897824343,55.726585728444,0.02492448912171,1
CNN/Time,2010/09/02,2010/09/07,869,RV,46,46,,2010,kentucky,,44.2484897824343,55.726585728444,0.02492448912171,1
SurveyUSA,2010/08/30,2010/09/01,561,LV,55,40,,2010,kentucky,,44.2484897824343,55.726585728444,0.02492448912171,1
CN|2/Braun Research,2010/08/30,2010/09/01,802,LV,42,37,,2010,kentucky,,44.2484897824343,55.726585728444,0.02492448912171,1
Rasmussen Reports,2010/08/17,2010/08/17,500,LV,51,41,,2010,kentucky,,44.2484897824343,55.726585728444,0.02492448912171,1
CN|2/Braun Research,2010/08/16,2010/08/18,801,LV,41,42,,2010,kentucky,,44.2484897824343,55.726585728444,0.02492448912171,1
Reuters/Ipsos,2010/08/13,2010/08/15,435,LV,45,40,,2010,kentucky,,44.2484897824343,55.726585728444,0.02492448912171,1
CN|2/Braun Research,2010/08/02,2010/08/04,802,LV,41,31,,2010,kentucky,,44.2484897824343,55.726585728444,0.02492448912171,1
SurveyUSA,2010/07/27,2010/07/29,568,LV,51,43,,2010,kentucky,,44.2484897824343,55.726585728444,0.02492448912171,1
CN|2/Braun Research,2010/07/19,2010/07/21,803,LV,41,38,,2010,kentucky,,44.2484897824343,55.726585728444,0.02492448912171,1
Rasmussen Reports,2010/07/20,2010/07/20,750,LV,49,41,,2010,kentucky,,44.2484897824343,55.726585728444,0.02492448912171,1
PPP (D),2010/06/28,2010/06/30,625,RV,43,43,,2010,kentucky,,44.2484897824343,55.726585728444,0.02492448912171,1
Rasmussen Reports,2010/06/28,2010/06/28,500,LV,49,42,,2010,kentucky,,44.2484897824343,55.726585728444,0.02492448912171,1
Rasmussen Reports,2010/06/01,2010/06/01,500,LV,49,41,,2010,kentucky,,44.2484897824343,55.726585728444,0.02492448912171,1
SurveyUSA,2010/05/25,2010/05/27,569,LV,51,45,,2010,kentucky,,44.2484897824343,55.726585728444,0.02492448912171,1
R2000/Daily Kos (D)**,2010/05/24,2010/05/26,600,LV,44,41,,2010,kentucky,,44.2484897824343,55.726585728444,0.02492448912171,1
Rasmussen Reports,2010/05/19,2010/05/19,500,LV,59,34,,2010,kentucky,,44.2484897824343,55.726585728444,0.02492448912171,1
R2000/Daily Kos (D)**,2010/05/10,2010/05/12,600,LV,42,39,,2010,kentucky,,44.2484897824343,55.726585728444,0.02492448912171,1
PPP (D),2010/05/01,2010/05/02,946,RV,41,40,,2010,kentucky,,44.2484897824343,55.726585728444,0.02492448912171,1
Rasmussen Reports,2010/04/28,2010/04/28,500,LV,47,38,,2010,kentucky,,44.2484897824343,55.726585728444,0.02492448912171,1
Rasmussen Reports,2010/03/31,2010/03/31,500,LV,50,36,,2010,kentucky,,44.2484897824343,55.726585728444,0.02492448912171,1
R2000/Daily Kos (D)**,2010/03/15,2010/03/17,600,LV,45,39,,2010,kentucky,,44.2484897824343,55.726585728444,0.02492448912171,1
Rasmussen Reports,2010/03/02,2010/03/02,500,LV,49,34,,2010,kentucky,,44.2484897824343,55.726585728444,0.02492448912171,1
Rasmussen Reports,2010/02/02,2010/02/02,500,LV,47,39,,2010,kentucky,,44.2484897824343,55.726585728444,0.02492448912171,1
Rasmussen Reports,2010/01/06,2010/01/06,500,LV,46,38,,2010,kentucky,,44.2484897824343,55.726585728444,0.02492448912171,1
PPP (D),2009/12/18,2009/12/21,1199,RV,42,36,,2010,kentucky,,44.2484897824343,55.726585728444,0.02492448912171,1
R2000/Daily Kos (D)**,2009/08/31,2009/09/02,600,LV,37,41,,2010,kentucky,,44.2484897824343,55.726585728444,0.02492448912171,1
Magellan Strategies (R),2010/10/24,2010/10/24,1347,LV,52,35,,2010,louisiana,,37.6738545795474,56.5548136987211,5.77133172173149,1
WWL-TV/Clarus Research,2010/10/21,2010/10/24,700,LV,50,38,,2010,louisiana,,37.6738545795474,56.5548136987211,5.77133172173149,1
Rasmussen Reports,2010/08/30,2010/08/30,500,LV,54,33,,2010,louisiana,,37.6738545795474,56.5548136987211,5.77133172173149,1
PPP (D),2010/08/21,2010/08/22,403,LV,51,41,,2010,louisiana,,37.6738545795474,56.5548136987211,5.77133172173149,1
Magellan Strategies (R),2010/10/10,2010/10/10,1107,LV,51,35,,2010,louisiana,,37.6738545795474,56.5548136987211,5.77133172173149,1
Magellan Strategies (R),2010/09/19,2010/09/19,1232,LV,52,34,,2010,louisiana,,37.6738545795474,56.5548136987211,5.77133172173149,1
WWL-TV/Clarus Research,2010/08/15,2010/08/16,600,RV,48,36,,2010,louisiana,,37.6738545795474,56.5548136987211,5.77133172173149,1
Rasmussen Reports,2010/06/24,2010/06/24,500,LV,53,35,,2010,louisiana,,37.6738545795474,56.5548136987211,5.77133172173149,1
PPP (D),2010/06/12,2010/06/13,492,LV,46,37,,2010,louisiana,,37.6738545795474,56.5548136987211,5.77133172173149,1
Magellan Strategies (R),2010/06/10,2010/06/13,1030,LV,51,31,,2010,louisiana,,37.6738545795474,56.5548136987211,5.77133172173149,1
SMOR/Grigsby (R),2010/04/19,2010/04/23,600,RV,49,31,,2010,louisiana,,37.6738545795474,56.5548136987211,5.77133172173149,1
Rasmussen Reports,2010/04/07,2010/04/07,500,LV,52,36,,2010,louisiana,,37.6738545795474,56.5548136987211,5.77133172173149,1
Rasmussen Reports,2010/02/10,2010/02/10,500,LV,57,33,,2010,louisiana,,37.6738545795474,56.5548136987211,5.77133172173149,1
Rasmussen Reports,2010/01/14,2010/01/14,500,LV,53,35,,2010,louisiana,,37.6738545795474,56.5548136987211,5.77133172173149,1
SMOR/Grigsby (R),2009/10/12,2009/10/15,600,LV,48,36,,2010,louisiana,,37.6738545795474,56.5548136987211,5.77133172173149,1
Rasmussen Reports,2009/10/05,2009/10/05,500,LV,46,36,,2010,louisiana,,37.6738545795474,56.5548136987211,5.77133172173149,1
PPP (D),2009/07/17,2009/07/19,727,LV,44,32,,2010,louisiana,,37.6738545795474,56.5548136987211,5.77133172173149,1
Rasmussen Reports,2010/10/24,2010/10/24,750,LV,38,56,,2010,maryland,,62.1975638244619,35.7533680361293,2.04906813940883,0
Washington Post,2010/10/19,2010/10/22,1434,LV,27,64,,2010,maryland,,62.1975638244619,35.7533680361293,2.04906813940883,0
Baltimore Sun/OpinionWorks,2010/10/15,2010/10/20,798,LV,32,59,,2010,maryland,,62.1975638244619,35.7533680361293,2.04906813940883,0
Gonzales Res.,2010/10/11,2010/10/16,816,LV,38,55,,2010,maryland,,62.1975638244619,35.7533680361293,2.04906813940883,0
Washington Post,2010/09/22,2010/09/26,730,LV,29,61,,2010,maryland,,62.1975638244619,35.7533680361293,2.04906813940883,0
Rasmussen Reports,2010/09/15,2010/09/15,750,LV,38,54,,2010,maryland,,62.1975638244619,35.7533680361293,2.04906813940883,0
Rasmussen Reports,2010/08/17,2010/08/17,750,LV,39,55,,2010,maryland,,62.1975638244619,35.7533680361293,2.04906813940883,0
PPP (D),2010/07/10,2010/07/12,569,RV,27,59,,2010,maryland,,62.1975638244619,35.7533680361293,2.04906813940883,0
Rasmussen Reports,2010/07/08,2010/07/08,500,LV,33,58,,2010,maryland,,62.1975638244619,35.7533680361293,2.04906813940883,0
KSN3/Missouri State Univ.,2010/10/20,2010/10/27,672,LV,54,41,,2010,missouri,,40.6263905686458,54.2291549097973,5.14445452155693,1
Post-Dispatch/Mason-Dixon,2010/10/18,2010/10/20,625,LV,49,40,,2010,missouri,,40.6263905686458,54.2291549097973,5.14445452155693,1
Rasmussen Reports,2010/10/19,2010/10/19,750,LV,52,43,,2010,missouri,,40.6263905686458,54.2291549097973,5.14445452155693,1
FOX News/POR-Rasmussen,2010/10/16,2010/10/16,1000,LV,49,43,,2010,missouri,,40.6263905686458,54.2291549097973,5.14445452155693,1
Rasmussen Reports,2010/10/05,2010/10/05,750,LV,51,43,,2010,missouri,,40.6263905686458,54.2291549097973,5.14445452155693,1
CNN/Time,2010/10/01,2010/10/05,832,LV,53,40,,2010,missouri,,40.6263905686458,54.2291549097973,5.14445452155693,1
FOX News/POR-Rasmussen,2010/10/02,2010/10/02,1000,LV,50,42,,2010,missouri,,40.6263905686458,54.2291549097973,5.14445452155693,1
Rasmussen Reports,2010/09/21,2010/09/21,750,LV,52,44,,2010,missouri,,40.6263905686458,54.2291549097973,5.14445452155693,1
Rasmussen Reports,2010/09/07,2010/09/07,750,LV,53,43,,2010,missouri,,40.6263905686458,54.2291549097973,5.14445452155693,1
Rasmussen Reports,2010/08/23,2010/08/23,750,LV,54,41,,2010,missouri,,40.6263905686458,54.2291549097973,5.14445452155693,1
Daily Kos/PPP (D),2010/08/14,2010/08/15,690,LV,45,38,,2010,missouri,,40.6263905686458,54.2291549097973,5.14445452155693,1
KY3/Missouri State Univ.,2010/08/06,2010/08/22,785,RV,49,48,,2010,missouri,,40.6263905686458,54.2291549097973,5.14445452155693,1
Rasmussen Reports,2010/08/10,2010/08/10,750,LV,50,43,,2010,missouri,,40.6263905686458,54.2291549097973,5.14445452155693,1
Rasmussen Reports,2010/07/27,2010/07/27,750,LV,49,43,,2010,missouri,,40.6263905686458,54.2291549097973,5.14445452155693,1
Post-Dispatch/Mason-Dixon,2010/07/19,2010/07/21,625,LV,48,42,,2010,missouri,,40.6263905686458,54.2291549097973,5.14445452155693,1
Rasmussen Reports,2010/07/13,2010/07/13,500,LV,47,45,,2010,missouri,,40.6263905686458,54.2291549097973,5.14445452155693,1
Rasmussen Reports,2010/06/28,2010/06/28,500,LV,48,43,,2010,missouri,,40.6263905686458,54.2291549097973,5.14445452155693,1
Rasmussen Reports,2010/06/02,2010/06/02,500,LV,45,44,,2010,missouri,,40.6263905686458,54.2291549097973,5.14445452155693,1
Rasmussen Reports,2010/05/03,2010/05/03,500,LV,50,42,,2010,missouri,,40.6263905686458,54.2291549097973,5.14445452155693,1
Rasmussen Reports,2010/04/06,2010/04/06,500,LV,48,42,,2010,missouri,,40.6263905686458,54.2291549097973,5.14445452155693,1
PPP (D),2010/03/27,2010/03/28,495,LV,45,41,,2010,missouri,,40.6263905686458,54.2291549097973,5.14445452155693,1
Rasmussen Reports,2010/03/09,2010/03/09,500,LV,47,41,,2010,missouri,,40.6263905686458,54.2291549097973,5.14445452155693,1
Rasmussen Reports,2010/02/10,2010/02/10,500,LV,49,42,,2010,missouri,,40.6263905686458,54.2291549097973,5.14445452155693,1
Rasmussen Reports,2010/01/19,2010/01/19,500,LV,49,43,,2010,missouri,,40.6263905686458,54.2291549097973,5.14445452155693,1
Rasmussen Reports,2009/12/15,2009/12/15,500,LV,44,46,,2010,missouri,,40.6263905686458,54.2291549097973,5.14445452155693,1
PPP (D),2009/11/13,2009/11/15,763,LV,42,43,,2010,missouri,,40.6263905686458,54.2291549097973,5.14445452155693,1
Momentum Analysis (D),2009/09/15,2009/09/19,802,LV,45,48,,2010,missouri,,40.6263905686458,54.2291549097973,5.14445452155693,1
Rasmussen Reports,2009/09/21,2009/09/21,500,LV,46,46,,2010,missouri,,40.6263905686458,54.2291549097973,5.14445452155693,1
Democracy Corps (D),2009/04/28,2009/04/30,800,LV,44,53,,2010,missouri,,40.6263905686458,54.2291549097973,5.14445452155693,1
Wilson Research (R),2009/03/07,2009/03/09,600,LV,44,47,,2010,missouri,,40.6263905686458,54.2291549097973,5.14445452155693,1
PPP (D),2009/01/10,2009/01/11,867,LV,44,45,,2010,missouri,,40.6263905686458,54.2291549097973,5.14445452155693,1
PPP (D),2010/10/30,2010/10/31,682,LV,47,46,,2010,nevada,,50.2887425076656,44.5466063398595,5.1646511524749,0
FOX News/POR-Rasmussen,2010/10/30,2010/10/30,1000,LV,48,45,,2010,nevada,,50.2887425076656,44.5466063398595,5.1646511524749,0
LVRJ/Mason-Dixon,2010/10/25,2010/10/27,625,LV,49,45,,2010,nevada,,50.2887425076656,44.5466063398595,5.1646511524749,0
Rasmussen Reports,2010/10/25,2010/10/25,750,LV,49,45,,2010,nevada,,50.2887425076656,44.5466063398595,5.1646511524749,0
CNN/Time,2010/10/20,2010/10/26,773,LV,49,45,,2010,nevada,,50.2887425076656,44.5466063398595,5.1646511524749,0
Rasmussen Reports,2010/10/17,2010/10/17,750,LV,50,47,,2010,nevada,,50.2887425076656,44.5466063398595,5.1646511524749,0
LVRJ/Mason-Dixon,2010/10/11,2010/10/12,625,LV,48,46,,2010,nevada,,50.2887425076656,44.5466063398595,5.1646511524749,0
Rasmussen Reports,2010/10/11,2010/10/11,750,LV,49,48,,2010,nevada,,50.2887425076656,44.5466063398595,5.1646511524749,0
Suffolk University,2010/10/08,2010/10/11,500,LV,43,46,,2010,nevada,,50.2887425076656,44.5466063398595,5.1646511524749,0
FOX News/POR-Rasmussen,2010/10/09,2010/10/09,1000,LV,49,47,,2010,nevada,,50.2887425076656,44.5466063398595,5.1646511524749,0
PPP (D),2010/10/07,2010/10/09,504,LV,45,47,,2010,nevada,,50.2887425076656,44.5466063398595,5.1646511524749,0
Rasmussen Reports,2010/10/05,2010/10/05,750,LV,50,46,,2010,nevada,,50.2887425076656,44.5466063398595,5.1646511524749,0
CNN/Time,2010/10/01,2010/10/05,789,LV,42,40,,2010,nevada,,50.2887425076656,44.5466063398595,5.1646511524749,0
FOX News/POR-Rasmussen,2010/10/02,2010/10/02,1000,LV,49,46,,2010,nevada,,50.2887425076656,44.5466063398595,5.1646511524749,0
Rasmussen Reports,2010/09/28,2010/09/28,750,LV,47,48,,2010,nevada,,50.2887425076656,44.5466063398595,5.1646511524749,0
Retail Assoc. of Nevada/POS (R),2010/09/21,2010/09/23,500,LV,40,45,,2010,nevada,,50.2887425076656,44.5466063398595,5.1646511524749,0
LVRJ/Mason-Dixon,2010/09/20,2010/09/22,625,LV,43,43,,2010,nevada,,50.2887425076656,44.5466063398595,5.1646511524749,0
FOX News/POR-Rasmussen,2010/09/18,2010/09/18,1000,LV,46,45,,2010,nevada,,50.2887425076656,44.5466063398595,5.1646511524749,0
CNN/Time,2010/09/10,2010/09/14,789,LV,42,41,,2010,nevada,,50.2887425076656,44.5466063398595,5.1646511524749,0
Rasmussen Reports,2010/09/13,2010/09/13,750,LV,48,48,,2010,nevada,,50.2887425076656,44.5466063398595,5.1646511524749,0
Reuters/Ipsos,2010/09/10,2010/09/12,463,LV,44,46,,2010,nevada,,50.2887425076656,44.5466063398595,5.1646511524749,0
FOX News/POR-Rasmussen,2010/09/11,2010/09/11,1000,LV,45,44,,2010,nevada,,50.2887425076656,44.5466063398595,5.1646511524749,0
LVRJ/Mason-Dixon,2010/09/07,2010/09/09,625,LV,44,46,,2010,nevada,,50.2887425076656,44.5466063398595,5.1646511524749,0
Rasmussen Reports,2010/09/01,2010/09/01,750,LV,47,50,,2010,nevada,,50.2887425076656,44.5466063398595,5.1646511524749,0
LVRJ/Mason-Dixon,2010/08/23,2010/08/25,625,LV,44,45,,2010,nevada,,50.2887425076656,44.5466063398595,5.1646511524749,0
Rasmussen Reports,2010/08/16,2010/08/16,750,LV,50,48,,2010,nevada,,50.2887425076656,44.5466063398595,5.1646511524749,0
LVRJ/Mason-Dixon,2010/08/09,2010/08/11,625,LV,44,46,,2010,nevada,,50.2887425076656,44.5466063398595,5.1646511524749,0
Reuters/Ipsos,2010/07/30,2010/08/01,462,LV,44,48,,2010,nevada,,50.2887425076656,44.5466063398595,5.1646511524749,0
LVRJ/Mason-Dixon,2010/07/26,2010/07/28,625,RV,42,43,,2010,nevada,,50.2887425076656,44.5466063398595,5.1646511524749,0
Rasmussen Reports,2010/07/27,2010/07/27,750,LV,43,45,,2010,nevada,,50.2887425076656,44.5466063398595,5.1646511524749,0
PPP (D),2010/07/16,2010/07/18,630,RV,46,48,,2010,nevada,,50.2887425076656,44.5466063398595,5.1646511524749,0
LVRJ/Mason-Dixon,2010/07/12,2010/07/14,625,LV,37,44,,2010,nevada,,50.2887425076656,44.5466063398595,5.1646511524749,0
Rasmussen Reports,2010/07/12,2010/07/12,750,LV,46,43,,2010,nevada,,50.2887425076656,44.5466063398595,5.1646511524749,0
Rasmussen Reports,2010/06/22,2010/06/22,500,LV,48,41,,2010,nevada,,50.2887425076656,44.5466063398595,5.1646511524749,0
Rasmussen Reports,2010/06/09,2010/06/09,500,LV,50,39,,2010,nevada,,50.2887425076656,44.5466063398595,5.1646511524749,0
LVRJ/Mason-Dixon,2010/06/01,2010/06/03,625,LV,44,41,,2010,nevada,,50.2887425076656,44.5466063398595,5.1646511524749,0
R2000/Daily Kos (D)**,2010/05/31,2010/06/02,600,LV,37,43,,2010,nevada,,50.2887425076656,44.5466063398595,5.1646511524749,0
Mason-Dixon,2010/05/24,2010/05/26,625,LV,39,42,,2010,nevada,,50.2887425076656,44.5466063398595,5.1646511524749,0
Rasmussen Reports,2010/04/27,2010/04/27,500,LV,48,40,,2010,nevada,,50.2887425076656,44.5466063398595,5.1646511524749,0
Rasmussen Reports,2010/03/31,2010/03/31,500,LV,51,40,,2010,nevada,,50.2887425076656,44.5466063398595,5.1646511524749,0
Rasmussen Reports,2010/03/03,2010/03/03,500,LV,46,38,,2010,nevada,,50.2887425076656,44.5466063398595,5.1646511524749,0
LVRJ/Mason-Dixon,2010/02/22,2010/02/24,625,LV,44,42,,2010,nevada,,50.2887425076656,44.5466063398595,5.1646511524749,0
Rasmussen Reports,2010/02/03,2010/02/03,500,LV,44,40,,2010,nevada,,50.2887425076656,44.5466063398595,5.1646511524749,0
Rasmussen Reports,2010/01/11,2010/01/11,500,LV,44,40,,2010,nevada,,50.2887425076656,44.5466063398595,5.1646511524749,0
Mason-Dixon,2010/01/05,2010/01/07,625,RV,45,40,,2010,nevada,,50.2887425076656,44.5466063398595,5.1646511524749,0
Rasmussen Reports,2009/12/09,2009/12/09,500,LV,47,43,,2010,nevada,,50.2887425076656,44.5466063398595,5.1646511524749,0
WMUR/UNH,2010/10/27,2010/10/31,885,LV,54,36,,2010,new-hampshire,,36.8465615447208,60.0862087924171,3.06722966286204,1
PPP (D),2010/10/27,2010/10/29,1308,LV,56,41,,2010,new-hampshire,,36.8465615447208,60.0862087924171,3.06722966286204,1
Rasmussen Reports,2010/10/27,2010/10/27,750,LV,56,41,,2010,new-hampshire,,36.8465615447208,60.0862087924171,3.06722966286204,1
WMUR/UNH,2010/10/07,2010/10/12,709,LV,50,35,,2010,new-hampshire,,36.8465615447208,60.0862087924171,3.06722966286204,1
Rasmussen Reports,2010/10/10,2010/10/10,750,LV,51,44,,2010,new-hampshire,,36.8465615447208,60.0862087924171,3.06722966286204,1
ARG,2010/10/03,2010/10/05,600,LV,47,42,,2010,new-hampshire,,36.8465615447208,60.0862087924171,3.06722966286204,1
WMUR/UNH,2010/09/23,2010/09/29,466,LV,50,35,,2010,new-hampshire,,36.8465615447208,60.0862087924171,3.06722966286204,1
ARG,2010/09/22,2010/09/26,800,LV,46,32,,2010,new-hampshire,,36.8465615447208,60.0862087924171,3.06722966286204,1
Rasmussen Reports,2010/09/15,2010/09/15,500,LV,51,44,,2010,new-hampshire,,36.8465615447208,60.0862087924171,3.06722966286204,1
PPP (D),2010/09/11,2010/09/12,1959,LV,47,43,,2010,new-hampshire,,36.8465615447208,60.0862087924171,3.06722966286204,1
Rasmussen Reports,2010/08/05,2010/08/05,500,LV,51,38,,2010,new-hampshire,,36.8465615447208,60.0862087924171,3.06722966286204,1
WMUR/UNH,2010/07/19,2010/07/27,446,LV,45,37,,2010,new-hampshire,,36.8465615447208,60.0862087924171,3.06722966286204,1
PPP (D),2010/07/23,2010/07/25,900,RV,45,42,,2010,new-hampshire,,36.8465615447208,60.0862087924171,3.06722966286204,1
Rasmussen Reports,2010/07/12,2010/07/12,500,LV,49,37,,2010,new-hampshire,,36.8465615447208,60.0862087924171,3.06722966286204,1
Rasmussen Reports,2010/05/11,2010/05/11,500,LV,50,38,,2010,new-hampshire,,36.8465615447208,60.0862087924171,3.06722966286204,1
WMUR/UNH,2010/04/12,2010/04/21,462,LV,47,32,,2010,new-hampshire,,36.8465615447208,60.0862087924171,3.06722966286204,1
PPP (D),2010/04/17,2010/04/18,1474,LV,47,40,,2010,new-hampshire,,36.8465615447208,60.0862087924171,3.06722966286204,1
Rasmussen Reports,2010/04/07,2010/04/07,500,LV,50,35,,2010,new-hampshire,,36.8465615447208,60.0862087924171,3.06722966286204,1
Rasmussen Reports,2010/03/08,2010/03/08,500,LV,47,37,,2010,new-hampshire,,36.8465615447208,60.0862087924171,3.06722966286204,1
Rasmussen Reports,2010/02/10,2010/02/10,500,LV,46,39,,2010,new-hampshire,,36.8465615447208,60.0862087924171,3.06722966286204,1
R2000/Daily Kos (D)**,2010/02/01,2010/02/03,600,LV,46,39,,2010,new-hampshire,,36.8465615447208,60.0862087924171,3.06722966286204,1
WMUR/UNH,2010/01/27,2010/02/03,444,LV,41,33,,2010,new-hampshire,,36.8465615447208,60.0862087924171,3.06722966286204,1
Rasmussen Reports,2010/01/12,2010/01/12,500,LV,49,40,,2010,new-hampshire,,36.8465615447208,60.0862087924171,3.06722966286204,1
ARG,2009/12/26,2009/12/29,566,RV,43,36,,2010,new-hampshire,,36.8465615447208,60.0862087924171,3.06722966286204,1
WMUR/UNH,2009/09/25,2009/10/02,503,A,40,33,,2010,new-hampshire,,36.8465615447208,60.0862087924171,3.06722966286204,1
ARG,2009/09/25,2009/09/29,572,LV,41,34,,2010,new-hampshire,,36.8465615447208,60.0862087924171,3.06722966286204,1
Rasmussen Reports,2009/09/14,2009/09/14,500,LV,46,38,,2010,new-hampshire,,36.8465615447208,60.0862087924171,3.06722966286204,1
R2000/Daily Kos (D)**,2009/07/13,2009/07/15,600,LV,39,38,,2010,new-hampshire,,36.8465615447208,60.0862087924171,3.06722966286204,1
University of New Hampshire,2009/06/24,2009/07/01,558,A,39,35,,2010,new-hampshire,,36.8465615447208,60.0862087924171,3.06722966286204,1
Siena,2010/10/27,2010/10/30,603,LV,32,64,,2010,new-york,1,,,,
Marist,2010/10/26,2010/10/28,415,LV,36,60,,2010,new-york,1,,,,
SurveyUSA,2010/10/25,2010/10/28,544,LV,32,62,,2010,new-york,1,,,,
Quinnipiac,2010/10/18,2010/10/24,672,LV,32,64,,2010,new-york,1,,,,
Rasmussen Reports,2010/10/19,2010/10/19,500,LV,31,59,,2010,new-york,1,,,,
Marist,2010/10/18,2010/10/20,505,LV,35,63,,2010,new-york,1,,,,
Siena,2010/10/14,2010/10/18,647,LV,28,67,,2010,new-york,1,,,,
New York Times,2010/10/10,2010/10/15,,,21,61,,2010,new-york,1,,,,
SurveyUSA,2010/10/11,2010/10/13,633,LV,30,63,,2010,new-york,1,,,,
SurveyUSA,2010/10/05,2010/10/07,627,LV,30,60,,2010,new-york,1,,,,
CNN/Time,2010/10/01,2010/10/05,585,LV,41,57,,2010,new-york,1,,,,
Quinnipiac,2010/10/01,2010/10/05,1141,LV,32,63,,2010,new-york,1,,,,
PPP (D),2010/10/01,2010/10/03,592,LV,37,59,,2010,new-york,1,,,,
Marist,2010/09/19,2010/09/22,617,LV,37,58,,2010,new-york,1,,,,
SurveyUSA,2010/09/20,2010/09/21,572,LV,33,54,,2010,new-york,1,,,,
Siena,2010/09/16,2010/09/21,801,RV,30,63,,2010,new-york,1,,,,
Quinnipiac,2010/09/16,2010/09/20,751,LV,38,54,,2010,new-york,1,,,,
Rasmussen Reports,2010/09/16,2010/09/16,500,LV,36,58,,2010,new-york,1,,,,
Siena,2010/07/06,2010/07/12,760,RV,26,63,,2010,new-york,1,,,,
Rasmussen Reports,2010/06/16,2010/06/16,500,LV,33,54,,2010,new-york,1,,,,
Siena,2010/06/07,2010/06/09,808,RV,26,60,,2010,new-york,1,,,,
Marist,2010/05/03,2010/05/05,686,RV,27,66,,2010,new-york,1,,,,
PPP (D),2010/10/29,2010/10/31,847,LV,52,40,,2010,north-carolina,,43.0466162847043,54.8121315194022,2.14125219589343,1
SurveyUSA,2010/10/22,2010/10/25,590,LV,53,38,,2010,north-carolina,,43.0466162847043,54.8121315194022,2.14125219589343,1
Civitas (R),2010/10/18,2010/10/20,600,LV,44,34,,2010,north-carolina,,43.0466162847043,54.8121315194022,2.14125219589343,1
Rasmussen Reports,2010/10/12,2010/10/12,500,LV,52,38,,2010,north-carolina,,43.0466162847043,54.8121315194022,2.14125219589343,1
PPP (D),2010/10/15,2010/10/17,597,LV,48,40,,2010,north-carolina,,43.0466162847043,54.8121315194022,2.14125219589343,1
PPP (D),2010/09/23,2010/09/26,681,LV,49,36,,2010,north-carolina,,43.0466162847043,54.8121315194022,2.14125219589343,1
Civitas (R),2010/09/15,2010/09/17,600,LV,49,29,,2010,north-carolina,,43.0466162847043,54.8121315194022,2.14125219589343,1
SurveyUSA,2010/09/10,2010/09/13,582,LV,58,34,,2010,north-carolina,,43.0466162847043,54.8121315194022,2.14125219589343,1
